,City,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,OpenWeatherMap City Number
0,hermanus,9.18,96,4.56,92,-34.42,19.24,3366880
1,barrow,13.13,40,6.56,32,-38.31,-60.23,3833859
2,albany,19.32,93,1.06,75,42.65,-73.75,5106834
3,redlands,17.13,75,1.5,1,34.06,-117.19,5386754
4,berlevag,11.69,81,4.1,0,70.86,29.09,780687
5,kapaa,26.22,90,7.2,90,22.08,-159.32,5848280
6,hobart,5.0,80,3.6,40,-42.88,147.33,2163355
7,torbay,10.27,100,5.1,90,47.66,-52.73,6167817
8,vredendal,11.08,70,1.71,76,-31.68,18.49,3359736
9,thompson,5.0,93,1.0,75,55.74,-97.86,6165406
10,atuona,26.83,98,9.91,48,-9.8,-139.03,4020109
11,norman wells,7.0,100,1.0,40,65.28,-126.83,6089245
12,gisborne,7.83,73,2.21,0,-38.66,178.02,2206854
13,ancud,10.18,99,3.41,92,-41.87,-73.83,3899695
14,rio grande,7.08,98,4.26,0,-32.03,-52.1,3451138
15,watari,22.85,88,1.0,75,38.04,140.87,2110586
16,busselton,15.73,100,8.86,56,-33.64,115.35,2075265
17,mezen,21.73,62,4.06,64,65.85,44.24,527321
18,seymchan,7.48,65,2.06,20,62.93,152.39,2121373
19,puerto ayora,21.23,100,4.11,56,-0.74,-90.35,3652764
20,constitucion,11.93,88,1.46,0,23.99,-104.67,4011743
21,collie,13.33,76,6.86,44,-33.36,116.15,2074113
22,vaini,21.83,98,3.56,92,15.34,74.49,1273574
23,hobyo,25.93,75,8.36,56,5.35,48.53,57000
24,butaritari,28.13,100,0.56,0,3.07,172.79,2110227
25,upernavik,2.38,100,1.66,92,72.79,-56.15,3418910
26,port alfred,14.33,79,9.51,56,-33.59,26.89,964432
27,mahebourg,26.0,57,7.7,75,-20.41,57.7,934322
28,coihaique,5.44,81,1.0,0,-45.58,-72.07,3894426
29,praia da vitoria,22.53,100,4.21,36,38.73,-27.07,3372760
30,joao pinheiro,19.58,76,5.51,68,-17.74,-46.17,3459785
31,ponta do sol,14.63,93,3.66,88,-20.63,-46.0,3453439
32,mabaruma,26.13,92,1.91,92,8.2,-59.78,3377301
33,jacareacanga,22.68,95,0.96,0,-6.22,-57.76,3397763
34,kibala,25.0,88,1.0,75,9.11,18.35,2425791
35,ribeira grande,24.0,69,1.5,20,38.52,-28.7,3372707
36,verkhnyaya toyma,23.48,58,3.86,0,62.24,45.0,474470
37,laguna,25.33,76,0.76,0,27.52,-110.01,4013704
38,bredasdorp,13.0,62,9.3,92,-34.53,20.04,1015776
