,category
"Concentrate,Shatter,",2801
"Concentrate,Wax,",2151
"Concentrate,Oil,",1664
"Edibles,Candy,",1443
"Vapes,Vape Cartidge,",1300
"Edibles,",890
"Edibles,Snack,",856
"Concentrate,Bubble Hash,",756
"Edibles,Chocolate,",723
"Concentrate,Crumble,Wax,",684
"Edibles,Drink,",535
"Topical,",521
"Tincture,",517
"Edibles,Pill",365
"Flowers,Pre-Roll",308
"Vapes,Disposable Vape,",189
"Concentrate,Kief,",184
"Topical,Bath,",97
"Edibles,Spread,",45
"Concentrate,Topical,RSO",18
"Edibles,Dressing,",8
"Edibles,Soup,",5
"Edibles,Salt,",2
